company_id,country,company_size,num_employees,annual_revenue_usd_millions
COMP-00001,Italy,Startup,57,48.31
COMP-00002,UK,Startup,18,14.66
COMP-00003,Germany,Enterprise,16151,8543.28
COMP-00004,Germany,Startup,33,42.7
COMP-00005,USA,SME,519,454.35
COMP-00006,Chile,SME,572,348.58
COMP-00007,Philippines,Startup,27,8.88
COMP-00008,South Africa,Enterprise,18340,2630.56
COMP-00009,India,SME,679,156.76
COMP-00010,South Africa,Startup,17,42.61
COMP-00011,UK,Startup,42,27.58
COMP-00012,Italy,Startup,47,48.97
COMP-00013,Thailand,SME,382,245.48
COMP-00014,Germany,Enterprise,10151,8709.59
COMP-00015,Malaysia,Enterprise,5642,7801.26
COMP-00016,Sweden,Startup,55,45.83
COMP-00017,Spain,Startup,55,48.37
COMP-00018,Egypt,Enterprise,3975,8585.8
COMP-00019,Italy,Startup,27,28.28
COMP-00020,Netherlands,Enterprise,17538,3305.26
COMP-00021,Italy,Startup,26,42.58
COMP-00022,Germany,SME,576,183.43
COMP-00023,Colombia,Startup,59,43.49
COMP-00024,Italy,SME,875,365.89
COMP-00025,Thailand,SME,753,450.5
COMP-00026,South Africa,Startup,41,29.34
COMP-00027,Canada,Startup,60,23.81
COMP-00028,Germany,SME,791,67.48
COMP-00029,Australia,Enterprise,16338,1707.07
COMP-00030,Indonesia,Startup,14,23.41
COMP-00031,Singapore,Enterprise,1876,2346.61
COMP-00032,Colombia,Startup,61,7.5
COMP-00033,Philippines,Startup,28,39.96
COMP-00034,China,SME,840,132.95
COMP-00035,Vietnam,Enterprise,2150,7111.75
COMP-00036,Egypt,SME,901,157.9
COMP-00037,Nigeria,SME,587,470.58
COMP-00038,Japan,SME,346,71.47
COMP-00039,Vietnam,Enterprise,2679,2007.14
COMP-00040,USA,SME,303,57.72
COMP-00041,Australia,Startup,57,40.54
COMP-00042,Brazil,Startup,19,47.51
COMP-00043,Netherlands,Startup,19,31.67
COMP-00044,Australia,Enterprise,5611,6350.59
COMP-00045,South Africa,Enterprise,6878,9470.39
COMP-00046,Egypt,Enterprise,19071,6933.1
COMP-00047,Vietnam,Enterprise,5000,8206.44
COMP-00048,South Africa,Startup,83,11.13
COMP-00049,New Zealand,Enterprise,11636,2538.6
COMP-00050,India,Startup,96,4.49
COMP-00051,China,Startup,35,34.4
COMP-00052,Poland,Enterprise,12338,8835.98
COMP-00053,Philippines,Startup,30,48.41
COMP-00054,Indonesia,Startup,58,36.85
COMP-00055,Thailand,Enterprise,6104,7875.92
COMP-00056,Indonesia,Startup,21,22.02
COMP-00057,Vietnam,Startup,32,37.97
COMP-00058,Sweden,SME,979,225.33
COMP-00059,Chile,SME,798,94.99
COMP-00060,Argentina,Startup,61,29.1
COMP-00061,Vietnam,SME,984,91.27
COMP-00062,Germany,Startup,62,39.79
