company_id,industry,country,company_size
COMP-00001,Education,Italy,Startup
COMP-00002,Finance,UK,Startup
COMP-00003,Education,Germany,Enterprise
COMP-00004,Manufacturing,Germany,Startup
COMP-00005,Finance,USA,SME
COMP-00006,Manufacturing,Chile,SME
COMP-00007,Manufacturing,Philippines,Startup
COMP-00008,Healthcare,South Africa,Enterprise
COMP-00009,Agriculture,India,SME
COMP-00010,Healthcare,South Africa,Startup
COMP-00011,Healthcare,UK,Startup
COMP-00012,Healthcare,Italy,Startup
COMP-00013,Agriculture,Thailand,SME
COMP-00014,Technology,Germany,Enterprise
COMP-00015,Manufacturing,Malaysia,Enterprise
COMP-00016,Logistics,Sweden,Startup
COMP-00017,Education,Spain,Startup
COMP-00018,Agriculture,Egypt,Enterprise
COMP-00019,Finance,Italy,Startup
COMP-00020,Retail,Netherlands,Enterprise
COMP-00021,Healthcare,Italy,Startup
COMP-00022,Education,Germany,SME
COMP-00023,Manufacturing,Colombia,Startup
COMP-00024,Finance,Italy,SME
COMP-00025,Consulting,Thailand,SME
COMP-00026,Finance,South Africa,Startup
COMP-00027,Agriculture,Canada,Startup
COMP-00028,Agriculture,Germany,SME
COMP-00029,Finance,Australia,Enterprise
COMP-00030,Education,Indonesia,Startup
COMP-00031,Healthcare,Singapore,Enterprise
COMP-00032,Finance,Colombia,Startup
COMP-00033,Manufacturing,Philippines,Startup
COMP-00034,Retail,China,SME
COMP-00035,Finance,Vietnam,Enterprise
COMP-00036,Retail,Egypt,SME
COMP-00037,Technology,Nigeria,SME
COMP-00038,Education,Japan,SME
COMP-00039,Healthcare,Vietnam,Enterprise
COMP-00040,Finance,USA,SME
COMP-00041,Education,Australia,Startup
COMP-00042,Manufacturing,Brazil,Startup
COMP-00043,Healthcare,Netherlands,Startup
COMP-00044,Retail,Australia,Enterprise
COMP-00045,Education,South Africa,Enterprise
COMP-00046,Finance,Egypt,Enterprise
COMP-00047,Education,Vietnam,Enterprise
COMP-00048,Manufacturing,South Africa,Startup
COMP-00049,Finance,New Zealand,Enterprise
COMP-00050,Manufacturing,India,Startup
COMP-00051,Retail,China,Startup
COMP-00052,Logistics,Poland,Enterprise
COMP-00053,Finance,Philippines,Startup
COMP-00054,Consulting,Indonesia,Startup
COMP-00055,Agriculture,Thailand,Enterprise
COMP-00056,Agriculture,Indonesia,Startup
COMP-00057,Consulting,Vietnam,Startup
COMP-00058,Logistics,Sweden,SME
COMP-00059,Consulting,Chile,SME
COMP-00060,Finance,Argentina,Startup
COMP-00061,Education,Vietnam,SME
COMP-00062,Retail,Germany,Startup
COMP-00063,Healthcare,Spain,SME
COMP-00064,Manufacturing,Chile,Startup
COMP-00065,Education,Australia,Startup
COMP-00066,Technology,Vietnam,Startup
COMP-00067,Finance,Sweden,SME
COMP-00068,Manufacturing,Australia,SME
COMP-00069,Manufacturing,Nigeria,SME
COMP-00070,Retail,UK,SME
COMP-00071,Technology,South Korea,SME
COMP-00072,Retail,Canada,Enterprise
COMP-00073,Education,UK,Enterprise
COMP-00074,Technology,Nigeria,SME
COMP-00075,Logistics,Sweden,Startup
COMP-00076,Manufacturing,Netherlands,Startup
COMP-00077,Healthcare,New Zealand,Startup
COMP-00078,Technology,Egypt,Enterprise
COMP-00079,Manufacturing,Thailand,Startup
COMP-00080,Logistics,New Zealand,Enterprise
COMP-00081,Agriculture,South Korea,Startup
COMP-00082,Retail,Japan,Startup
COMP-00083,Logistics,USA,Startup
COMP-00084,Consulting,Nigeria,Startup
COMP-00085,Agriculture,Chile,Startup
COMP-00086,Consulting,Thailand,Enterprise
COMP-00087,Education,Sweden,SME
COMP-00088,Healthcare,Philippines,Enterprise
COMP-00089,Agriculture,India,Startup
COMP-00090,Technology,Vietnam,SME
COMP-00091,Consulting,Canada,SME
COMP-00092,Consulting,Netherlands,Startup
COMP-00093,Technology,Egypt,Startup
COMP-00094,Finance,Australia,Startup
COMP-00095,Manufacturing,Canada,SME
