response_id,company_id,survey_year,quarter,ai_training_hours,ai_maturity_score,ai_failure_rate,ai_risk_management_score
1,COMP-00001,2023,Q1,20.94,0.224,35.22,60
2,COMP-00001,2023,Q2,23.1,0.174,24.65,53
3,COMP-00001,2023,Q3,12.29,0.266,36.51,53
4,COMP-00001,2023,Q4,11.31,0.123,33.3,44
5,COMP-00001,2024,Q1,35.17,0.363,19.83,77
6,COMP-00001,2024,Q2,25.68,0.372,31.03,71
7,COMP-00001,2024,Q3,32.14,0.307,21.03,61
8,COMP-00001,2024,Q4,48.36,0.459,10.59,62
9,COMP-00001,2025,Q1,10.48,0.191,40.0,52
10,COMP-00001,2025,Q2,29.92,0.427,13.99,59
11,COMP-00001,2025,Q3,23.71,0.34,25.29,62
12,COMP-00001,2025,Q4,45.98,0.417,25.79,70
13,COMP-00001,2026,Q1,37.91,0.453,12.64,69
14,COMP-00001,2026,Q2,41.88,0.388,17.53,65
15,COMP-00001,2026,Q3,9.08,0.233,40.0,65
16,COMP-00001,2026,Q4,29.05,0.263,18.48,75
17,COMP-00002,2023,Q1,19.51,0.357,31.33,60
18,COMP-00002,2023,Q2,22.57,0.429,21.55,64
19,COMP-00002,2023,Q3,55.62,0.486,23.75,55
20,COMP-00002,2023,Q4,36.01,0.391,24.78,84
21,COMP-00002,2024,Q1,32.32,0.351,27.76,65
22,COMP-00002,2024,Q2,30.83,0.394,27.12,62
23,COMP-00002,2024,Q3,9.77,0.178,36.64,50
24,COMP-00002,2024,Q4,39.45,0.424,19.06,61
25,COMP-00002,2025,Q1,53.23,0.417,21.94,83
26,COMP-00002,2025,Q2,33.54,0.465,27.7,72
27,COMP-00002,2025,Q3,45.79,0.558,10.78,76
28,COMP-00002,2025,Q4,29.72,0.488,17.64,62
30,COMP-00002,2026,Q2,27.19,0.402,27.13,61
31,COMP-00002,2026,Q3,36.48,0.377,28.32,52
32,COMP-00002,2026,Q4,37.32,0.458,19.62,59
33,COMP-00003,2023,Q1,19.79,0.316,26.6,55
34,COMP-00003,2023,Q2,23.97,0.239,32.07,54
35,COMP-00003,2023,Q3,33.88,0.408,20.98,67
36,COMP-00003,2023,Q4,37.55,0.513,25.71,71
39,COMP-00003,2024,Q3,17.33,0.293,32.36,56
40,COMP-00003,2024,Q4,28.97,0.415,31.02,76
41,COMP-00003,2025,Q1,49.29,0.521,9.66,65
42,COMP-00003,2025,Q2,27.69,0.385,22.89,67
43,COMP-00003,2025,Q3,27.33,0.423,24.58,44
44,COMP-00003,2025,Q4,34.52,0.542,12.52,44
45,COMP-00003,2026,Q1,31.16,0.422,17.67,57
46,COMP-00003,2026,Q2,46.46,0.469,15.98,77
47,COMP-00003,2026,Q3,21.42,0.397,22.77,67
48,COMP-00003,2026,Q4,28.41,0.356,29.82,67
49,COMP-00004,2023,Q1,55.26,0.346,5.7,56
