response_id,company_id,survey_year,quarter,productivity_change_percent,revenue_growth_percent,cost_reduction_percent,innovation_score,customer_satisfaction
1,COMP-00001,2023,Q1,2.65,2.52,9.45,53,5.2
2,COMP-00001,2023,Q2,5.77,4.77,0.0,51,6.98
3,COMP-00001,2023,Q3,6.94,12.87,9.74,40,4.12
4,COMP-00001,2023,Q4,5.32,8.19,0.0,51,5.72
5,COMP-00001,2024,Q1,6.32,11.3,9.02,43,6.31
6,COMP-00001,2024,Q2,17.83,9.57,1.9,53,5.12
7,COMP-00001,2024,Q3,12.33,11.29,5.15,69,6.17
8,COMP-00001,2024,Q4,5.72,10.72,3.95,64,3.55
9,COMP-00001,2025,Q1,0.82,-1.34,4.6,52,3.61
10,COMP-00001,2025,Q2,12.31,11.45,5.83,55,5.71
11,COMP-00001,2025,Q3,3.53,4.3,2.1,44,4.24
12,COMP-00001,2025,Q4,6.47,-2.08,2.88,45,5.22
13,COMP-00001,2026,Q1,15.46,3.51,12.03,63,7.19
14,COMP-00001,2026,Q2,11.81,4.31,9.75,52,5.22
15,COMP-00001,2026,Q3,0.0,4.41,3.61,56,4.21
16,COMP-00001,2026,Q4,2.41,6.93,7.45,53,6.33
17,COMP-00002,2023,Q1,11.17,7.26,7.16,58,4.32
18,COMP-00002,2023,Q2,13.12,7.98,0.56,54,4.74
19,COMP-00002,2023,Q3,17.96,5.06,6.84,53,6.59
20,COMP-00002,2023,Q4,13.08,0.42,4.73,60,7.03
21,COMP-00002,2024,Q1,7.84,5.43,6.11,55,3.65
22,COMP-00002,2024,Q2,12.64,13.82,5.51,66,5.88
23,COMP-00002,2024,Q3,0.0,5.53,3.67,46,4.64
24,COMP-00002,2024,Q4,13.85,4.79,5.9,56,5.23
25,COMP-00002,2025,Q1,3.76,1.43,6.72,59,5.8
26,COMP-00002,2025,Q2,13.61,0.88,10.25,67,5.95
27,COMP-00002,2025,Q3,10.13,3.22,4.9,70,3.22
28,COMP-00002,2025,Q4,12.7,8.15,4.13,60,5.06
30,COMP-00002,2026,Q2,15.8,-0.78,5.7,58,5.79
31,COMP-00002,2026,Q3,5.83,4.04,4.81,60,5.03
32,COMP-00002,2026,Q4,12.11,14.29,8.7,54,6.26
33,COMP-00003,2023,Q1,9.76,9.16,3.58,57,5.0
34,COMP-00003,2023,Q2,10.7,4.51,6.48,51,5.15
35,COMP-00003,2023,Q3,4.46,6.75,10.1,52,4.35
36,COMP-00003,2023,Q4,15.94,9.48,7.01,53,5.86
39,COMP-00003,2024,Q3,5.39,-5.0,0.0,40,5.81
40,COMP-00003,2024,Q4,12.78,-2.67,1.31,58,6.82
41,COMP-00003,2025,Q1,19.01,12.61,9.79,56,7.65
42,COMP-00003,2025,Q2,7.7,-2.28,2.5,45,5.93
43,COMP-00003,2025,Q3,16.44,11.13,2.44,56,4.79
44,COMP-00003,2025,Q4,15.82,12.5,9.4,70,5.13
45,COMP-00003,2026,Q1,8.14,4.25,7.31,61,6.12
46,COMP-00003,2026,Q2,14.93,2.28,4.89,74,7.13
47,COMP-00003,2026,Q3,4.5,-3.75,12.16,58,4.4
48,COMP-00003,2026,Q4,12.82,7.29,15.23,55,5.11
49,COMP-00004,2023,Q1,3.79,-0.46,3.88,52,5.25
50,COMP-00004,2023,Q2,11.56,-3.29,7.98,55,4.32
51,COMP-00004,2023,Q3,6.46,4.92,8.31,47,5.97
52,COMP-00004,2023,Q4,9.44,10.36,3.67,50,5.82
53,COMP-00004,2024,Q1,5.19,4.8,4.7,79,5.82
54,COMP-00004,2024,Q2,0.85,-3.16,0.54,49,4.72
55,COMP-00004,2024,Q3,16.85,15.62,2.84,69,4.17
57,COMP-00004,2025,Q1,16.17,1.59,13.02,52,5.37
58,COMP-00004,2025,Q2,7.24,5.13,2.45,46,4.34
59,COMP-00004,2025,Q3,8.97,6.61,1.44,48,5.08
60,COMP-00004,2025,Q4,6.46,-5.0,1.35,40,6.51
62,COMP-00004,2026,Q2,7.86,3.29,4.74,44,5.41
63,COMP-00004,2026,Q3,12.06,7.12,4.96,71,6.04
64,COMP-00004,2026,Q4,14.77,4.33,12.15,45,5.48
65,COMP-00005,2023,Q1,0.0,0.28,0.0,65,5.71
66,COMP-00005,2023,Q2,0.0,-5.0,1.43,54,6.69
68,COMP-00005,2023,Q4,0.0,6.08,0.28,59,4.3
69,COMP-00005,2024,Q1,4.68,6.55,1.22,51,4.35
70,COMP-00005,2024,Q2,3.73,0.76,0.0,55,4.65
71,COMP-00005,2024,Q3,12.08,10.33,2.52,56,5.66
72,COMP-00005,2024,Q4,7.62,6.22,6.34,59,5.6
73,COMP-00005,2025,Q1,14.87,8.44,7.16,55,6.62
74,COMP-00005,2025,Q2,19.07,5.55,4.23,64,7.03
76,COMP-00005,2025,Q4,10.51,0.61,1.63,55,5.55
77,COMP-00005,2026,Q1,5.46,-5.0,4.08,40,5.6
78,COMP-00005,2026,Q2,10.07,-2.81,0.0,62,5.8
79,COMP-00005,2026,Q3,7.45,3.91,0.88,44,5.27
80,COMP-00005,2026,Q4,13.92,15.64,1.12,52,7.87
81,COMP-00006,2023,Q1,5.13,4.08,0.0,50,5.77
82,COMP-00006,2023,Q2,14.88,7.4,2.1,61,5.78
83,COMP-00006,2023,Q3,13.51,6.94,4.31,62,6.95
84,COMP-00006,2023,Q4,0.19,1.84,7.3,40,5.19
85,COMP-00006,2024,Q1,9.42,11.0,7.25,55,4.03
86,COMP-00006,2024,Q2,8.65,0.56,0.0,57,5.67
87,COMP-00006,2024,Q3,13.6,13.19,11.72,77,6.79
88,COMP-00006,2024,Q4,23.04,13.17,3.41,51,6.57
89,COMP-00006,2025,Q1,12.37,3.6,0.65,57,4.6
90,COMP-00006,2025,Q2,11.21,7.55,9.36,70,4.46
91,COMP-00006,2025,Q3,13.95,12.22,12.98,45,7.09
92,COMP-00006,2025,Q4,8.71,2.27,1.57,59,4.87
93,COMP-00006,2026,Q1,9.85,15.01,6.02,58,5.43
94,COMP-00006,2026,Q2,8.0,4.05,4.87,63,3.09
95,COMP-00006,2026,Q3,11.56,2.12,0.0,54,6.09
96,COMP-00006,2026,Q4,18.35,8.5,8.29,70,7.64
97,COMP-00007,2023,Q1,0.0,1.34,2.85,40,4.77
98,COMP-00007,2023,Q2,0.0,2.4,6.06,40,2.75
99,COMP-00007,2023,Q3,0.0,6.86,3.92,40,4.09
100,COMP-00007,2023,Q4,4.19,7.4,1.69,40,3.8
