response_id,company_id,survey_year,quarter,remote_work_percentage,employee_satisfaction_score,task_automation_rate,time_saved_per_week,jobs_displaced,jobs_created,reskilled_employees
1,COMP-00001,2023,Q1,14.55,6.95,19.47,6.44,1,1,3
2,COMP-00001,2023,Q2,50.25,5.16,26.24,8.92,2,2,5
3,COMP-00001,2023,Q3,41.7,4.57,22.24,7.59,3,3,2
4,COMP-00001,2023,Q4,28.1,5.33,2.87,3.16,1,1,2
5,COMP-00001,2024,Q1,29.93,6.0,18.44,7.03,2,3,6
6,COMP-00001,2024,Q2,39.83,5.23,27.94,6.13,4,2,3
7,COMP-00001,2024,Q3,49.56,6.01,33.02,10.62,5,3,6
8,COMP-00001,2024,Q4,63.64,5.6,19.24,6.98,2,4,5
9,COMP-00001,2025,Q1,31.71,4.62,18.57,8.38,4,1,3
10,COMP-00001,2025,Q2,51.43,6.08,21.52,4.73,3,4,5
11,COMP-00001,2025,Q3,47.26,5.93,9.32,1.1,2,2,4
12,COMP-00001,2025,Q4,43.01,6.0,19.61,7.12,2,3,6
13,COMP-00001,2026,Q1,40.52,7.36,46.9,13.25,7,4,4
14,COMP-00001,2026,Q2,65.34,4.74,21.56,5.22,2,3,4
15,COMP-00001,2026,Q3,41.57,5.3,11.63,3.92,1,2,2
16,COMP-00001,2026,Q4,40.12,5.84,15.38,7.18,3,3,4
17,COMP-00002,2023,Q1,44.63,5.32,18.75,5.03,1,1,0
18,COMP-00002,2023,Q2,43.49,5.62,0.0,0.0,1,1,1
19,COMP-00002,2023,Q3,46.36,7.35,22.35,7.08,1,1,2
20,COMP-00002,2023,Q4,55.88,3.7,28.09,8.03,1,1,2
21,COMP-00002,2024,Q1,42.99,5.3,14.64,5.04,0,1,2
22,COMP-00002,2024,Q2,55.65,4.46,24.31,6.18,0,1,2
23,COMP-00002,2024,Q3,50.69,4.84,10.17,2.9,0,1,0
24,COMP-00002,2024,Q4,58.73,6.22,28.98,8.32,1,1,2
25,COMP-00002,2025,Q1,52.93,5.55,22.51,8.54,1,1,3
26,COMP-00002,2025,Q2,56.32,4.14,32.65,11.07,1,1,2
27,COMP-00002,2025,Q3,71.04,6.77,32.91,7.05,1,1,2
28,COMP-00002,2025,Q4,59.56,5.49,19.25,5.02,1,1,1
30,COMP-00002,2026,Q2,27.49,5.43,20.16,7.83,1,1,1
31,COMP-00002,2026,Q3,48.53,5.81,19.31,5.62,1,1,1
32,COMP-00002,2026,Q4,62.02,7.14,23.28,8.06,1,1,1
33,COMP-00003,2023,Q1,41.4,4.6,9.4,2.22,63,554,703
34,COMP-00003,2023,Q2,40.58,4.73,21.8,3.86,902,584,1519
35,COMP-00003,2023,Q3,35.18,6.03,23.4,9.38,694,999,1456
36,COMP-00003,2023,Q4,50.38,6.62,21.71,5.93,583,975,1548
39,COMP-00003,2024,Q3,54.27,5.5,10.61,4.16,399,492,206
40,COMP-00003,2024,Q4,75.99,5.67,16.9,4.66,359,908,876
41,COMP-00003,2025,Q1,61.34,5.48,26.25,8.61,706,1063,1407
42,COMP-00003,2025,Q2,45.06,6.32,11.64,7.47,228,532,1147
43,COMP-00003,2025,Q3,29.63,4.98,21.39,6.62,646,783,843
44,COMP-00003,2025,Q4,21.74,6.11,12.73,4.52,465,614,1084
45,COMP-00003,2026,Q1,43.1,4.25,18.83,8.95,315,978,1034
46,COMP-00003,2026,Q2,45.09,7.1,25.38,8.44,1012,924,2505
47,COMP-00003,2026,Q3,56.55,5.82,23.78,6.02,737,782,1216
48,COMP-00003,2026,Q4,55.89,3.72,30.68,9.4,1232,705,956
49,COMP-00004,2023,Q1,15.76,7.14,15.82,4.7,1,2,4
50,COMP-00004,2023,Q2,47.5,5.16,29.66,8.41,2,2,0
51,COMP-00004,2023,Q3,28.88,4.71,12.91,5.8,1,0,2
52,COMP-00004,2023,Q4,33.18,5.48,21.37,6.49,2,1,2
53,COMP-00004,2024,Q1,30.01,5.09,20.72,3.25,1,2,2
54,COMP-00004,2024,Q2,9.67,5.89,11.61,6.54,0,0,0
55,COMP-00004,2024,Q3,24.89,6.95,19.84,6.66,1,2,3
57,COMP-00004,2025,Q1,37.09,6.78,25.19,9.92,2,2,2
58,COMP-00004,2025,Q2,32.45,5.69,14.12,3.98,1,1,3
59,COMP-00004,2025,Q3,47.0,5.6,17.7,4.85,2,1,2
60,COMP-00004,2025,Q4,29.72,4.65,19.71,5.2,1,1,1
62,COMP-00004,2026,Q2,39.72,5.05,31.63,12.08,2,2,3
63,COMP-00004,2026,Q3,36.87,3.75,27.02,4.91,2,2,2
64,COMP-00004,2026,Q4,39.33,4.64,30.85,9.81,2,2,3
65,COMP-00005,2023,Q1,24.37,5.7,13.91,5.3,9,7,42
66,COMP-00005,2023,Q2,29.1,4.75,6.55,0.0,16,8,13
68,COMP-00005,2023,Q4,29.46,3.61,11.38,3.52,14,11,7
69,COMP-00005,2024,Q1,41.78,4.78,11.4,5.82,7,14,21
70,COMP-00005,2024,Q2,46.42,5.16,8.71,3.35,5,3,12
71,COMP-00005,2024,Q3,67.86,5.12,16.92,3.54,18,16,42
72,COMP-00005,2024,Q4,47.71,4.9,10.75,4.42,5,17,43
73,COMP-00005,2025,Q1,34.59,6.33,28.57,11.6,31,12,22
74,COMP-00005,2025,Q2,49.92,5.35,19.26,8.17,22,24,26
76,COMP-00005,2025,Q4,46.54,6.05,17.81,4.26,17,22,17
77,COMP-00005,2026,Q1,67.83,5.85,16.86,3.8,20,22,8
78,COMP-00005,2026,Q2,40.04,6.47,18.59,7.89,22,27,41
79,COMP-00005,2026,Q3,28.96,6.04,15.36,5.2,23,11,22
80,COMP-00005,2026,Q4,53.36,6.06,10.58,1.21,11,20,26
81,COMP-00006,2023,Q1,39.61,4.81,17.06,3.52,36,23,32
82,COMP-00006,2023,Q2,54.88,5.04,23.31,7.08,30,18,41
83,COMP-00006,2023,Q3,53.08,6.19,23.53,5.91,31,29,24
84,COMP-00006,2023,Q4,12.1,6.73,18.72,7.11,17,17,27
85,COMP-00006,2024,Q1,32.45,6.54,32.6,9.1,48,27,52
86,COMP-00006,2024,Q2,42.35,4.36,35.42,7.97,36,26,34
87,COMP-00006,2024,Q3,41.6,6.18,42.11,12.93,51,38,54
88,COMP-00006,2024,Q4,41.66,5.6,32.07,9.38,49,30,36
89,COMP-00006,2025,Q1,42.3,5.15,17.93,6.76,16,30,71
90,COMP-00006,2025,Q2,17.62,6.07,31.09,7.92,41,29,8
91,COMP-00006,2025,Q3,43.28,6.85,21.13,5.84,30,29,26
92,COMP-00006,2025,Q4,49.46,3.84,13.14,6.44,26,31,26
93,COMP-00006,2026,Q1,34.19,4.13,25.25,5.98,22,31,48
94,COMP-00006,2026,Q2,43.75,4.91,25.21,7.81,39,42,59
95,COMP-00006,2026,Q3,40.27,5.09,13.91,5.1,17,22,47
96,COMP-00006,2026,Q4,41.38,5.26,30.48,14.17,35,40,84
97,COMP-00007,2023,Q1,16.68,5.88,9.75,1.7,1,0,1
98,COMP-00007,2023,Q2,9.89,5.59,7.48,4.43,0,1,0
99,COMP-00007,2023,Q3,21.39,5.96,0.0,1.0,0,0,0
100,COMP-00007,2023,Q4,38.44,6.75,6.1,1.18,0,0,1
101,COMP-00007,2024,Q1,31.67,4.79,5.05,3.57,0,0,1
102,COMP-00007,2024,Q2,47.91,6.98,13.0,0.87,1,1,0
103,COMP-00007,2024,Q3,2.94,5.42,9.8,2.39,0,0,0
104,COMP-00007,2024,Q4,23.22,6.17,13.63,4.58,1,0,0
105,COMP-00007,2025,Q1,39.64,5.06,18.84,6.0,1,1,1
106,COMP-00007,2025,Q2,26.08,5.66,16.48,3.49,1,0,1
107,COMP-00007,2025,Q3,9.88,5.07,14.99,2.06,1,0,1
108,COMP-00007,2025,Q4,22.02,5.24,7.64,2.64,0,0,1
109,COMP-00007,2026,Q1,22.86,4.95,16.8,3.14,2,0,2
110,COMP-00007,2026,Q2,37.44,6.77,20.13,6.93,1,0,1
111,COMP-00007,2026,Q3,41.45,5.46,0.42,1.02,0,0,0
112,COMP-00007,2026,Q4,26.95,6.23,5.76,2.96,0,1,0
113,COMP-00008,2023,Q1,28.04,5.36,36.4,11.15,1544,419,674
114,COMP-00008,2023,Q2,46.02,4.97,14.65,3.46,553,352,995
115,COMP-00008,2023,Q3,44.55,5.29,15.71,7.1,654,489,918
116,COMP-00008,2023,Q4,34.23,5.62,0.0,0.43,164,529,1169
117,COMP-00008,2024,Q1,39.77,5.22,16.12,5.51,585,1252,1219
118,COMP-00008,2024,Q2,35.17,4.95,14.09,7.29,411,586,188
119,COMP-00008,2024,Q3,10.16,5.18,11.42,2.16,196,318,0
120,COMP-00008,2024,Q4,45.92,6.12,23.59,7.16,1019,1079,2352
121,COMP-00008,2025,Q1,20.87,5.66,9.3,1.96,374,222,1051
122,COMP-00008,2025,Q2,45.42,6.32,23.89,7.74,988,911,1988
123,COMP-00008,2025,Q3,50.53,5.34,11.57,4.05,360,737,1873
124,COMP-00008,2025,Q4,33.29,6.38,19.0,6.02,635,679,1102
125,COMP-00008,2026,Q1,39.59,5.41,16.65,5.13,498,420,1464
126,COMP-00008,2026,Q2,36.72,5.16,24.58,6.47,689,641,1145
128,COMP-00008,2026,Q4,59.49,4.5,26.91,4.3,844,769,1376
129,COMP-00009,2023,Q1,48.16,5.86,20.06,7.12,39,29,23
130,COMP-00009,2023,Q2,21.19,5.27,15.87,3.44,23,6,0
131,COMP-00009,2023,Q3,29.09,4.86,16.26,8.37,29,24,58
132,COMP-00009,2023,Q4,37.23,5.97,21.54,4.16,46,36,49
133,COMP-00009,2024,Q1,26.97,5.76,12.02,3.49,17,22,1
134,COMP-00009,2024,Q2,31.6,6.11,16.47,5.7,36,31,34
135,COMP-00009,2024,Q3,21.84,4.66,17.2,5.31,21,22,33
136,COMP-00009,2024,Q4,35.63,5.3,27.13,6.81,44,28,30
137,COMP-00009,2025,Q1,48.65,5.48,20.82,6.55,31,32,55
138,COMP-00009,2025,Q2,40.83,6.51,23.47,8.03,33,40,25
140,COMP-00009,2025,Q4,11.68,5.57,9.94,1.33,26,15,46
141,COMP-00009,2026,Q1,45.64,5.84,11.42,2.8,22,27,45
142,COMP-00009,2026,Q2,34.57,5.76,16.13,5.39,30,17,4
143,COMP-00009,2026,Q3,35.16,5.21,7.61,1.03,4,17,50
144,COMP-00009,2026,Q4,23.51,5.72,24.48,5.89,48,26,41
145,COMP-00010,2023,Q1,46.32,4.9,5.51,2.57,0,0,0
146,COMP-00010,2023,Q2,28.09,5.33,8.71,1.86,0,0,0
147,COMP-00010,2023,Q3,60.83,5.69,16.17,5.84,1,0,2
148,COMP-00010,2023,Q4,2.36,4.04,3.18,0.0,0,0,0
150,COMP-00010,2024,Q2,37.11,5.44,13.47,3.89,1,0,1
151,COMP-00010,2024,Q3,37.85,4.6,15.19,6.74,1,1,1
152,COMP-00010,2024,Q4,26.42,5.07,5.48,4.63,0,1,0
153,COMP-00010,2025,Q1,27.94,4.02,11.79,6.02,0,0,0
154,COMP-00010,2025,Q2,35.54,5.8,17.5,3.92,1,1,1
155,COMP-00010,2025,Q3,24.28,3.56,3.8,2.64,0,0,1
157,COMP-00010,2026,Q1,11.09,4.37,0.0,2.38,0,0,0
158,COMP-00010,2026,Q2,36.37,5.75,14.29,4.56,0,0,1
159,COMP-00010,2026,Q3,45.95,5.38,13.53,6.59,0,0,0
161,COMP-00011,2023,Q1,43.61,5.39,10.4,2.58,1,1,2
162,COMP-00011,2023,Q2,26.18,4.64,1.47,0.0,0,1,3
163,COMP-00011,2023,Q3,39.96,5.08,14.27,2.49,2,2,1
165,COMP-00011,2024,Q1,24.82,7.15,26.49,8.83,3,1,5
166,COMP-00011,2024,Q2,31.59,5.32,16.66,4.17,2,1,3
167,COMP-00011,2024,Q3,31.82,5.48,4.25,2.39,1,2,0
168,COMP-00011,2024,Q4,15.52,4.53,15.7,4.31,1,1,1
169,COMP-00011,2025,Q1,26.2,5.11,14.31,6.92,1,2,2
170,COMP-00011,2025,Q2,18.79,5.41,10.75,1.51,1,1,2
171,COMP-00011,2025,Q3,8.33,5.33,2.96,1.0,0,0,0
172,COMP-00011,2025,Q4,36.06,5.62,23.6,3.97,1,2,2
173,COMP-00011,2026,Q1,35.27,4.98,2.85,2.98,1,2,2
174,COMP-00011,2026,Q2,22.02,5.85,14.81,1.67,2,1,0
176,COMP-00011,2026,Q4,46.36,6.98,14.65,4.56,2,2,3
177,COMP-00012,2023,Q1,25.95,5.43,8.71,2.95,1,2,2
178,COMP-00012,2023,Q2,18.73,5.38,2.24,0.53,0,1,1
179,COMP-00012,2023,Q3,30.87,5.62,16.27,4.86,2,2,3
180,COMP-00012,2023,Q4,31.76,7.65,29.16,6.78,3,1,6
181,COMP-00012,2024,Q1,37.66,5.1,33.59,8.03,3,2,1
182,COMP-00012,2024,Q2,26.59,5.35,11.16,0.0,0,0,1
183,COMP-00012,2024,Q3,35.09,4.32,10.74,1.93,1,1,0
184,COMP-00012,2024,Q4,34.7,4.59,23.54,5.3,2,2,3
185,COMP-00012,2025,Q1,35.12,6.49,25.58,8.91,2,2,2
186,COMP-00012,2025,Q2,20.53,5.7,0.0,0.68,0,1,1
187,COMP-00012,2025,Q3,22.81,4.65,14.78,5.57,1,2,1
