response_id,ai_projects_active,ai_training_hours,time_saved_per_week,task_automation_rate
1,3,20.94,6.44,19.47
2,0,23.1,8.92,26.24
3,3,12.29,7.59,22.24
4,2,11.31,3.16,2.87
5,5,35.17,7.03,18.44
6,8,25.68,6.13,27.94
7,5,32.14,10.62,33.02
8,5,48.36,6.98,19.24
9,6,10.48,8.38,18.57
10,9,29.92,4.73,21.52
11,9,23.71,1.1,9.32
12,3,45.98,7.12,19.61
13,10,37.91,13.25,46.9
14,7,41.88,5.22,21.56
15,4,9.08,3.92,11.63
16,1,29.05,7.18,15.38
17,9,19.51,5.03,18.75
18,12,22.57,0.0,0.0
19,9,55.62,7.08,22.35
20,7,36.01,8.03,28.09
21,8,32.32,5.04,14.64
22,6,30.83,6.18,24.31
23,3,9.77,2.9,10.17
24,7,39.45,8.32,28.98
25,4,53.23,8.54,22.51
26,9,33.54,11.07,32.65
27,10,45.79,7.05,32.91
28,13,29.72,5.02,19.25
30,7,27.19,7.83,20.16
31,10,36.48,5.62,19.31
32,9,37.32,8.06,23.28
33,8,19.79,2.22,9.4
34,2,23.97,3.86,21.8
35,7,33.88,9.38,23.4
36,10,37.55,5.93,21.71
39,5,17.33,4.16,10.61
40,8,28.97,4.66,16.9
41,9,49.29,8.61,26.25
42,7,27.69,7.47,11.64
43,14,27.33,6.62,21.39
44,12,34.52,4.52,12.73
45,10,31.16,8.95,18.83
46,9,46.46,8.44,25.38
47,8,21.42,6.02,23.78
48,6,28.41,9.4,30.68
49,3,55.26,4.7,15.82
50,8,29.08,8.41,29.66
51,10,14.78,5.8,12.91
52,5,27.81,6.49,21.37
53,8,17.59,3.25,20.72
54,0,13.53,6.54,11.61
55,13,37.15,6.66,19.84
57,8,24.19,9.92,25.19
58,5,19.68,3.98,14.12
59,9,18.82,4.85,17.7
60,4,19.76,5.2,19.71
62,6,35.59,12.08,31.63
63,7,19.96,4.91,27.02
64,4,26.66,9.81,30.85
65,3,22.97,5.3,13.91
66,2,13.71,0.0,6.55
68,0,0.0,3.52,11.38
69,5,20.92,5.82,11.4
70,5,15.47,3.35,8.71
71,6,31.39,3.54,16.92
72,4,36.65,4.42,10.75
73,12,26.08,11.6,28.57
74,6,27.57,8.17,19.26
76,7,21.44,4.26,17.81
77,7,11.48,3.8,16.86
78,7,26.12,7.89,18.59
79,1,15.71,5.2,15.36
80,1,24.55,1.21,10.58
81,7,17.25,3.52,17.06
