response_id,ai_budget_percentage,ai_investment_per_employee
1,6.54,55392.29
2,5.81,49210.79
3,12.39,105011.76
4,3.2,27157.71
5,9.98,84622.9
6,9.89,83847.25
7,6.75,57226.36
8,13.06,110716.67
9,3.54,30006.46
10,11.44,96933.18
11,6.85,58029.95
12,13.16,111515.93
13,9.63,81628.07
14,7.24,61337.67
15,9.65,81814.66
16,9.42,79878.34
17,9.42,76713.32
18,10.09,82205.88
19,7.78,63385.4
20,9.28,75619.62
21,6.19,50439.24
22,12.42,101125.26
23,6.52,53103.42
24,10.69,87029.62
25,9.63,78427.83
26,13.16,107194.76
27,15.04,122488.65
28,11.07,90159.85
30,12.92,105213.75
31,4.35,35453.06
32,11.47,93442.64
33,7.54,39857.64
34,7.97,42153.36
35,11.28,59658.54
36,14.21,75154.16
39,10.31,54511.69
40,12.04,63682.44
41,12.42,65674.68
42,11.46,60635.02
43,5.7,30153.63
44,14.88,78686.63
45,9.44,49950.04
46,9.43,49892.44
47,13.08,69203.92
48,10.34,54674.44
49,4.95,64014.4
50,8.26,106943.64
51,2.55,33043.24
52,8.75,113159.08
53,5.76,74530.43
54,4.94,63922.16
55,10.64,137663.83
57,8.14,105371.42
58,5.0,64708.45
59,8.19,105925.03
60,4.95,64063.8
62,8.31,107469.55
63,13.05,168872.85
64,12.9,166946.54
65,7.0,61255.54
66,3.24,28384.43
68,7.08,61981.68
69,5.23,45781.55
70,3.57,31222.42
71,9.8,85769.63
72,8.22,71926.54
73,6.18,54087.52
74,12.07,105681.47
76,6.42,56183.54
77,8.25,72186.61
78,14.02,122755.86
79,7.51,65756.97
80,9.36,81976.41
81,5.99,36473.35
82,10.63,64778.64
83,8.89,54197.1
84,5.12,31226.87
85,15.08,91873.77
86,7.02,42780.17
87,11.75,71575.2
88,13.19,80361.42
89,9.33,56839.78
90,10.08,61457.3
91,10.04,61203.76
92,8.09,49297.57
93,12.5,76160.86
94,11.06,67397.27
95,8.01,48826.83
96,15.05,91728.72
97,0.0,0.0
98,4.18,13758.51
99,0.0,0.0
100,4.53,14892.17
101,10.62,34914.07
102,4.21,13851.61
103,1.57,5150.56
104,2.49,8198.01
105,9.88,32486.55
106,5.66,18609.05
107,6.25,20561.22
108,6.07,19954.02
109,5.31,17458.84
110,3.96,13038.8
111,5.03,16541.48
112,6.22,20469.03
113,6.49,9313.91
114,5.1,7313.49
115,7.6,10903.83
116,7.81,11207.87
117,12.31,17662.48
118,8.11,11629.45
119,3.74,5358.01
120,14.33,20554.26
121,9.2,13202.49
122,9.9,14206.47
123,11.74,16843.99
124,11.25,16143.08
125,7.35,10547.92
126,6.13,8796.48
128,9.27,13289.78
129,9.01,20794.27
130,7.37,17012.01
131,6.53,15083.42
132,7.74,17874.39
133,11.61,26800.03
134,7.71,17794.66
135,4.44,10257.2
136,9.33,21545.86
137,8.9,20556.79
138,9.19,21209.17
140,6.4,14770.41
141,12.12,27979.82
142,7.03,16240.91
143,2.86,6595.17
144,5.53,12757.24
145,1.73,43366.89
146,4.73,118636.33
147,3.23,80857.64
148,0.0,0.0
150,6.74,169005.69
151,7.59,190162.58
152,3.17,79492.43
153,7.7,193116.92
154,5.12,128377.57
155,5.68,142259.87
157,3.43,85995.44
158,3.12,78200.1
159,5.46,136768.6
161,5.57,36567.67
162,9.56,62807.51
163,4.51,29624.57
165,6.69,43938.76
166,8.5,55849.1
167,5.11,33522.96
168,7.02,46083.02
169,5.42,35563.35
170,6.81,44709.06
171,2.62,17226.71
172,11.25,73846.38
173,10.02,65793.79
174,6.13,40222.88
176,14.14,92874.56
177,6.68,69566.08
178,2.03,21168.69
179,7.83,81539.49
180,8.47,88236.85
181,7.16,74562.32
182,3.46,36034.43
183,2.25,23433.19
184,6.67,69535.34
185,13.41,139685.16
186,1.2,12502.81
187,3.66,38164.8
188,7.43,77420.52
189,8.39,87400.37
190,5.57,58016.75
191,6.13,63841.76
192,5.48,57063.71
194,14.7,94457.2
195,15.38,98849.03
196,15.97,102610.02
197,15.52,99743.14
198,10.54,67731.44
199,15.67,100719.56
200,11.69,75102.02
201,12.64,81221.06
202,10.19,65465.57
203,12.29,78994.4
205,12.61,81047.12
206,12.91,82988.37
207,10.85,69742.11
209,8.25,70823.79
211,11.6,99518.98
212,14.96,128363.02
213,16.03,137539.1
214,16.05,137692.98
215,15.7,134678.83
217,11.98,102775.51
218,16.76,143784.17
219,11.05,94785.33
220,17.96,154127.35
221,12.76,109517.52
222,10.35,88845.77
223,15.44,132461.88
224,17.05,146264.98
225,5.5,76031.54
226,12.16,168107.87
227,9.28,128294.01
228,13.34,184483.86
229,5.95,82214.52
230,10.96,151601.19
231,11.17,154449.69
232,9.22,127517.15
233,7.56,104495.36
234,7.8,107908.07
235,13.13,181564.59
237,9.62,133085.52
238,20.93,289361.85
239,11.9,164540.07
240,16.21,224166.67
241,8.41,70074.41
242,10.44,87008.03
243,9.52,79298.16
244,11.79,98266.81
245,10.77,89735.68
246,7.8,65025.11
247,6.53,54398.04
248,12.55,104591.99
249,1.64,13694.48
250,5.87,48872.24
251,6.71,55912.75
252,6.68,55640.86
253,5.26,43848.16
254,9.68,80670.57
255,12.64,105301.81
257,7.68,67521.77
258,9.72,85519.95
259,12.29,108055.67
260,8.05,70765.48
261,6.34,55738.72
262,8.31,73048.6
263,11.55,101612.38
264,11.32,99557.9
265,5.52,48534.25
266,4.63,40736.53
267,3.55,31252.01
268,10.19,89576.2
269,5.08,44707.54
