company_id,industry,company_size,num_employees,annual_revenue_usd_millions,company_founding_year,company_age,company_age_group,country,region
COMP-00001,Education,Startup,57,48.31,1994,29,16-30 years,Italy,Europe
COMP-00001,Education,Startup,57,48.31,1994,30,16-30 years,Italy,Europe
COMP-00001,Education,Startup,57,48.31,1994,31,30+ years,Italy,Europe
COMP-00001,Education,Startup,57,48.31,1994,32,30+ years,Italy,Europe
COMP-00002,Finance,Startup,18,14.66,2008,15,6-15 years,UK,Europe
COMP-00002,Finance,Startup,18,14.66,2008,16,16-30 years,UK,Europe
COMP-00002,Finance,Startup,18,14.66,2008,17,16-30 years,UK,Europe
COMP-00002,Finance,Startup,18,14.66,2008,18,16-30 years,UK,Europe
COMP-00003,Education,Enterprise,16151,8543.28,2009,14,6-15 years,Germany,Europe
COMP-00003,Education,Enterprise,16151,8543.28,2009,15,6-15 years,Germany,Europe
COMP-00003,Education,Enterprise,16151,8543.28,2009,16,16-30 years,Germany,Europe
COMP-00003,Education,Enterprise,16151,8543.28,2009,17,16-30 years,Germany,Europe
COMP-00004,Manufacturing,Startup,33,42.7,1997,26,16-30 years,Germany,Europe
COMP-00004,Manufacturing,Startup,33,42.7,1997,27,16-30 years,Germany,Europe
COMP-00004,Manufacturing,Startup,33,42.7,1997,28,16-30 years,Germany,Europe
COMP-00004,Manufacturing,Startup,33,42.7,1997,29,16-30 years,Germany,Europe
COMP-00005,Finance,SME,519,454.35,2009,14,6-15 years,USA,North America
COMP-00005,Finance,SME,519,454.35,2009,15,6-15 years,USA,North America
COMP-00005,Finance,SME,519,454.35,2009,16,16-30 years,USA,North America
COMP-00005,Finance,SME,519,454.35,2009,17,16-30 years,USA,North America
COMP-00006,Manufacturing,SME,572,348.58,2018,5,0-5 years,Chile,South America
COMP-00006,Manufacturing,SME,572,348.58,2018,6,6-15 years,Chile,South America
COMP-00006,Manufacturing,SME,572,348.58,2018,7,6-15 years,Chile,South America
COMP-00006,Manufacturing,SME,572,348.58,2018,8,6-15 years,Chile,South America
COMP-00007,Manufacturing,Startup,27,8.88,2007,16,16-30 years,Philippines,Asia
COMP-00007,Manufacturing,Startup,27,8.88,2007,17,16-30 years,Philippines,Asia
COMP-00007,Manufacturing,Startup,27,8.88,2007,18,16-30 years,Philippines,Asia
COMP-00007,Manufacturing,Startup,27,8.88,2007,19,16-30 years,Philippines,Asia
COMP-00008,Healthcare,Enterprise,18340,2630.56,2022,1,0-5 years,South Africa,Africa
COMP-00008,Healthcare,Enterprise,18340,2630.56,2022,2,0-5 years,South Africa,Africa
COMP-00008,Healthcare,Enterprise,18340,2630.56,2022,3,0-5 years,South Africa,Africa
COMP-00008,Healthcare,Enterprise,18340,2630.56,2022,4,0-5 years,South Africa,Africa
COMP-00009,Agriculture,SME,679,156.76,2010,13,6-15 years,India,Asia
COMP-00009,Agriculture,SME,679,156.76,2010,14,6-15 years,India,Asia
COMP-00009,Agriculture,SME,679,156.76,2010,15,6-15 years,India,Asia
COMP-00009,Agriculture,SME,679,156.76,2010,16,16-30 years,India,Asia
COMP-00010,Healthcare,Startup,17,42.61,2006,17,16-30 years,South Africa,Africa
COMP-00010,Healthcare,Startup,17,42.61,2006,18,16-30 years,South Africa,Africa
COMP-00010,Healthcare,Startup,17,42.61,2006,19,16-30 years,South Africa,Africa
COMP-00010,Healthcare,Startup,17,42.61,2006,20,16-30 years,South Africa,Africa
COMP-00011,Healthcare,Startup,42,27.58,2011,12,6-15 years,UK,Europe
COMP-00011,Healthcare,Startup,42,27.58,2011,13,6-15 years,UK,Europe
COMP-00011,Healthcare,Startup,42,27.58,2011,14,6-15 years,UK,Europe
COMP-00011,Healthcare,Startup,42,27.58,2011,15,6-15 years,UK,Europe
COMP-00012,Healthcare,Startup,47,48.97,1997,26,16-30 years,Italy,Europe
COMP-00012,Healthcare,Startup,47,48.97,1997,27,16-30 years,Italy,Europe
COMP-00012,Healthcare,Startup,47,48.97,1997,28,16-30 years,Italy,Europe
COMP-00012,Healthcare,Startup,47,48.97,1997,29,16-30 years,Italy,Europe
COMP-00013,Agriculture,SME,382,245.48,2010,13,6-15 years,Thailand,Asia
COMP-00013,Agriculture,SME,382,245.48,2010,14,6-15 years,Thailand,Asia
COMP-00013,Agriculture,SME,382,245.48,2010,15,6-15 years,Thailand,Asia
COMP-00013,Agriculture,SME,382,245.48,2010,16,16-30 years,Thailand,Asia
COMP-00014,Technology,Enterprise,10151,8709.59,2008,15,6-15 years,Germany,Europe
COMP-00014,Technology,Enterprise,10151,8709.59,2008,16,16-30 years,Germany,Europe
COMP-00014,Technology,Enterprise,10151,8709.59,2008,17,16-30 years,Germany,Europe
COMP-00014,Technology,Enterprise,10151,8709.59,2008,18,16-30 years,Germany,Europe
COMP-00015,Manufacturing,Enterprise,5642,7801.26,2006,17,16-30 years,Malaysia,Asia
COMP-00015,Manufacturing,Enterprise,5642,7801.26,2006,18,16-30 years,Malaysia,Asia
COMP-00015,Manufacturing,Enterprise,5642,7801.26,2006,19,16-30 years,Malaysia,Asia
COMP-00015,Manufacturing,Enterprise,5642,7801.26,2006,20,16-30 years,Malaysia,Asia
COMP-00016,Logistics,Startup,55,45.83,2013,10,6-15 years,Sweden,Europe
COMP-00016,Logistics,Startup,55,45.83,2013,11,6-15 years,Sweden,Europe
COMP-00016,Logistics,Startup,55,45.83,2013,12,6-15 years,Sweden,Europe
COMP-00016,Logistics,Startup,55,45.83,2013,13,6-15 years,Sweden,Europe
COMP-00017,Education,Startup,55,48.37,2022,1,0-5 years,Spain,Europe
COMP-00017,Education,Startup,55,48.37,2022,2,0-5 years,Spain,Europe
COMP-00017,Education,Startup,55,48.37,2022,3,0-5 years,Spain,Europe
COMP-00017,Education,Startup,55,48.37,2022,4,0-5 years,Spain,Europe
COMP-00018,Agriculture,Enterprise,3975,8585.8,1992,31,30+ years,Egypt,Africa
