response_id,jobs_displaced,jobs_created
1,1,1
2,2,2
3,3,3
4,1,1
5,2,3
6,4,2
7,5,3
8,2,4
9,4,1
10,3,4
11,2,2
12,2,3
13,7,4
14,2,3
15,1,2
16,3,3
17,1,1
18,1,1
19,1,1
20,1,1
21,0,1
22,0,1
23,0,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
30,1,1
31,1,1
32,1,1
33,63,554
34,902,584
35,694,999
36,583,975
39,399,492
40,359,908
41,706,1063
42,228,532
43,646,783
44,465,614
45,315,978
46,1012,924
47,737,782
48,1232,705
49,1,2
50,2,2
51,1,0
52,2,1
53,1,2
54,0,0
55,1,2
57,2,2
58,1,1
59,2,1
60,1,1
62,2,2
63,2,2
64,2,2
65,9,7
66,16,8
68,14,11
69,7,14
70,5,3
71,18,16
72,5,17
73,31,12
74,22,24
76,17,22
77,20,22
78,22,27
79,23,11
80,11,20
81,36,23
82,30,18
83,31,29
84,17,17
85,48,27
86,36,26
87,51,38
88,49,30
89,16,30
90,41,29
91,30,29
92,26,31
93,22,31
94,39,42
95,17,22
96,35,40
97,1,0
98,0,1
99,0,0
100,0,0
101,0,0
102,1,1
103,0,0
104,1,0
105,1,1
106,1,0
107,1,0
108,0,0
109,2,0
110,1,0
111,0,0
112,0,1
113,1544,419
114,553,352
115,654,489
116,164,529
117,585,1252
118,411,586
119,196,318
120,1019,1079
121,374,222
122,988,911
123,360,737
124,635,679
125,498,420
126,689,641
128,844,769
129,39,29
130,23,6
131,29,24
132,46,36
133,17,22
134,36,31
135,21,22
136,44,28
137,31,32
138,33,40
140,26,15
141,22,27
142,30,17
143,4,17
144,48,26
145,0,0
146,0,0
147,1,0
148,0,0
150,1,0
151,1,1
152,0,1
153,0,0
154,1,1
155,0,0
157,0,0
158,0,0
159,0,0
161,1,1
162,0,1
163,2,2
165,3,1
166,2,1
167,1,2
168,1,1
169,1,2
170,1,1
171,0,0
172,1,2
173,1,2
174,2,1
176,2,2
177,1,2
178,0,1
179,2,2
180,3,1
181,3,2
182,0,0
183,1,1
184,2,2
185,2,2
186,0,1
187,1,2
188,0,1
189,1,1
190,1,1
191,0,0
192,0,2
194,31,23
195,28,30
196,31,35
197,10,26
198,37,31
199,19,26
200,17,29
201,35,32
202,35,22
203,13,25
205,24,33
206,30,27
207,28,19
209,144,365
211,123,454
212,401,734
213,893,593
214,318,502
215,369,536
217,540,504
218,553,541
219,809,623
220,798,418
221,457,494
222,584,585
223,197,743
224,774,812
225,143,140
226,233,204
227,174,323
228,360,402
229,367,137
230,290,412
231,340,412
232,266,264
233,120,189
234,228,162
235,267,217
237,276,426
238,454,398
239,299,412
240,519,408
241,2,2
242,3,2
243,4,3
244,4,3
245,3,2
246,3,2
247,3,3
248,1,3
249,2,1
250,2,2
251,2,2
252,2,2
253,3,2
254,4,2
255,5,4
257,1,1
258,2,2
259,1,3
260,2,2
261,2,2
262,3,2
263,2,3
264,0,3
265,0,2
266,0,2
267,2,2
268,3,3
269,1,2
270,2,1
271,0,2
272,2,4
273,208,221
274,91,90
275,141,253
276,207,170
278,385,276
279,175,117
280,65,142
281,115,261
283,279,299
284,132,232
285,150,135
286,117,259
287,181,83
289,1,1
290,1,1
291,0,0
292,1,0
293,2,1
294,1,0
296,0,1
298,0,1
299,1,1
300,1,1
301,0,1
302,1,1
303,1,1
304,1,1
305,774,952
306,1145,1063
307,716,910
308,1370,973
309,619,885
310,1073,949
311,1538,1379
312,1063,1074
313,1041,1150
314,1426,1014
315,1259,1636
316,1238,1168
317,1267,1161
318,1254,1190
319,1205,1200
320,53,570
322,1,1
323,1,1
324,0,0
325,2,1
326,0,0
327,0,0
328,1,1
329,1,1
330,1,0
331,0,0
332,0,1
333,0,1
334,1,1
335,0,1
336,0,1
338,7,26
339,22,26
340,34,30
342,33,43
343,18,30
344,9,23
345,28,25
346,30,28
347,41,33
348,33,45
349,28,39
350,22,29
351,34,37
352,35,41
353,2,2
354,1,1
355,1,0
356,1,2
357,1,1
358,1,1
359,0,1
360,0,1
361,2,1
362,2,1
363,3,1
366,1,2
367,1,1
368,2,1
370,58,43
372,24,55
373,33,32
374,22,42
375,14,39
376,16,37
377,84,58
378,66,41
379,50,63
380,47,61
381,45,70
382,60,38
383,32,36
384,38,52
385,44,27
386,33,24
388,19,20
389,57,44
390,43,29
392,32,24
393,0,8
394,12,15
395,46,28
396,21,36
397,53,42
398,31,44
399,26,22
400,40,39
401,0,1
402,1,2
403,1,1
404,1,1
406,2,0
407,2,2
408,1,1
409,2,2
410,1,2
411,0,2
412,2,2
413,3,2
414,2,2
415,1,1
416,2,2
417,2,3
418,1,1
419,1,1
420,1,1
421,4,3
422,3,4
423,4,1
424,2,2
425,2,2
426,1,3
427,2,3
429,4,5
430,4,3
431,2,2
432,4,1
434,39,16
435,27,51
436,30,19
437,11,39
438,24,37
439,21,27
440,39,26
441,36,33
442,34,9
443,16,41
444,34,35
445,18,35
446,15,21
447,56,34
448,23,20
449,291,605
450,449,951
451,496,589
