response_id,remote_work_percentage,employee_satisfaction_score,reskilled_employees
1,14.55,6.95,3
2,50.25,5.16,5
3,41.7,4.57,2
4,28.1,5.33,2
5,29.93,6.0,6
6,39.83,5.23,3
7,49.56,6.01,6
8,63.64,5.6,5
9,31.71,4.62,3
10,51.43,6.08,5
11,47.26,5.93,4
12,43.01,6.0,6
13,40.52,7.36,4
14,65.34,4.74,4
15,41.57,5.3,2
16,40.12,5.84,4
17,44.63,5.32,0
18,43.49,5.62,1
19,46.36,7.35,2
20,55.88,3.7,2
21,42.99,5.3,2
22,55.65,4.46,2
23,50.69,4.84,0
24,58.73,6.22,2
25,52.93,5.55,3
26,56.32,4.14,2
27,71.04,6.77,2
28,59.56,5.49,1
30,27.49,5.43,1
31,48.53,5.81,1
32,62.02,7.14,1
33,41.4,4.6,703
34,40.58,4.73,1519
35,35.18,6.03,1456
36,50.38,6.62,1548
39,54.27,5.5,206
40,75.99,5.67,876
41,61.34,5.48,1407
42,45.06,6.32,1147
43,29.63,4.98,843
44,21.74,6.11,1084
45,43.1,4.25,1034
46,45.09,7.1,2505
47,56.55,5.82,1216
48,55.89,3.72,956
49,15.76,7.14,4
50,47.5,5.16,0
51,28.88,4.71,2
52,33.18,5.48,2
53,30.01,5.09,2
54,9.67,5.89,0
55,24.89,6.95,3
57,37.09,6.78,2
58,32.45,5.69,3
59,47.0,5.6,2
60,29.72,4.65,1
62,39.72,5.05,3
63,36.87,3.75,2
64,39.33,4.64,3
65,24.37,5.7,42
66,29.1,4.75,13
68,29.46,3.61,7
69,41.78,4.78,21
70,46.42,5.16,12
71,67.86,5.12,42
72,47.71,4.9,43
73,34.59,6.33,22
74,49.92,5.35,26
76,46.54,6.05,17
77,67.83,5.85,8
78,40.04,6.47,41
79,28.96,6.04,22
80,53.36,6.06,26
81,39.61,4.81,32
82,54.88,5.04,41
83,53.08,6.19,24
84,12.1,6.73,27
85,32.45,6.54,52
86,42.35,4.36,34
87,41.6,6.18,54
88,41.66,5.6,36
89,42.3,5.15,71
90,17.62,6.07,8
91,43.28,6.85,26
92,49.46,3.84,26
93,34.19,4.13,48
94,43.75,4.91,59
95,40.27,5.09,47
96,41.38,5.26,84
97,16.68,5.88,1
98,9.89,5.59,0
99,21.39,5.96,0
100,38.44,6.75,1
101,31.67,4.79,1
102,47.91,6.98,0
103,2.94,5.42,0
104,23.22,6.17,0
105,39.64,5.06,1
106,26.08,5.66,1
107,9.88,5.07,1
108,22.02,5.24,1
109,22.86,4.95,2
110,37.44,6.77,1
111,41.45,5.46,0
112,26.95,6.23,0
113,28.04,5.36,674
114,46.02,4.97,995
115,44.55,5.29,918
116,34.23,5.62,1169
117,39.77,5.22,1219
118,35.17,4.95,188
119,10.16,5.18,0
120,45.92,6.12,2352
121,20.87,5.66,1051
122,45.42,6.32,1988
123,50.53,5.34,1873
124,33.29,6.38,1102
125,39.59,5.41,1464
126,36.72,5.16,1145
128,59.49,4.5,1376
129,48.16,5.86,23
130,21.19,5.27,0
131,29.09,4.86,58
132,37.23,5.97,49
133,26.97,5.76,1
134,31.6,6.11,34
135,21.84,4.66,33
136,35.63,5.3,30
137,48.65,5.48,55
138,40.83,6.51,25
140,11.68,5.57,46
141,45.64,5.84,45
142,34.57,5.76,4
143,35.16,5.21,50
144,23.51,5.72,41
145,46.32,4.9,0
146,28.09,5.33,0
147,60.83,5.69,2
148,2.36,4.04,0
150,37.11,5.44,1
151,37.85,4.6,1
152,26.42,5.07,0
153,27.94,4.02,0
154,35.54,5.8,1
155,24.28,3.56,1
157,11.09,4.37,0
158,36.37,5.75,1
159,45.95,5.38,0
161,43.61,5.39,2
162,26.18,4.64,3
163,39.96,5.08,1
165,24.82,7.15,5
166,31.59,5.32,3
167,31.82,5.48,0
168,15.52,4.53,1
169,26.2,5.11,2
170,18.79,5.41,2
171,8.33,5.33,0
172,36.06,5.62,2
173,35.27,4.98,2
174,22.02,5.85,0
176,46.36,6.98,3
177,25.95,5.43,2
178,18.73,5.38,1
179,30.87,5.62,3
180,31.76,7.65,6
181,37.66,5.1,1
182,26.59,5.35,1
183,35.09,4.32,0
184,34.7,4.59,3
185,35.12,6.49,2
186,20.53,5.7,1
187,22.81,4.65,1
188,26.37,5.99,3
189,49.38,4.74,2
190,52.85,4.61,1
191,36.48,4.97,2
192,51.34,5.32,3
194,42.39,4.49,41
195,57.91,5.87,43
196,53.14,5.56,49
197,49.07,6.9,24
198,64.76,6.07,51
199,39.8,5.48,49
200,28.74,5.52,48
201,49.51,5.97,43
202,26.51,6.45,32
203,37.16,6.59,23
205,27.23,4.54,39
206,49.04,7.13,37
207,37.06,6.28,28
209,60.52,5.58,522
211,45.56,4.2,232
212,65.53,5.67,905
213,65.17,4.83,1013
214,66.55,5.79,1088
215,64.12,6.61,562
217,66.49,6.96,524
218,64.51,6.71,788
219,74.39,6.27,941
220,66.09,6.61,392
221,51.51,6.62,819
222,60.22,5.4,1391
223,69.23,5.34,1491
224,76.49,5.87,891
225,51.03,4.84,248
226,39.27,5.48,606
227,51.17,6.0,455
228,44.1,5.83,531
229,32.95,6.59,0
230,46.76,6.3,472
231,41.14,6.61,622
232,40.09,5.82,230
233,40.44,5.58,463
234,35.7,5.43,290
235,44.25,6.79,357
237,31.92,6.57,462
238,52.11,7.36,577
239,30.47,6.89,599
240,55.15,6.61,683
241,37.08,6.09,5
242,24.71,3.86,3
243,48.29,6.78,5
244,40.69,5.87,3
245,39.15,5.98,2
246,38.66,4.98,3
247,37.72,5.39,4
248,45.84,5.03,2
249,29.81,5.37,4
250,22.19,6.74,3
251,22.89,5.72,3
252,33.79,4.93,4
253,7.22,6.19,0
254,35.59,7.49,4
255,35.35,6.68,4
257,63.13,5.43,3
258,71.08,5.06,3
259,51.4,5.84,2
260,39.07,4.66,2
261,29.43,6.86,1
262,39.24,4.26,3
263,43.33,6.02,4
264,50.9,6.75,3
265,51.13,5.38,2
266,14.87,6.12,4
267,49.75,6.1,2
268,44.25,6.26,4
269,56.13,4.24,3
270,55.16,3.45,3
271,38.46,4.94,2
272,57.43,6.89,5
273,26.42,5.53,534
274,31.47,6.08,161
275,37.93,4.94,232
276,52.22,6.3,380
278,30.84,6.13,374
279,47.79,5.37,114
280,30.18,5.83,121
281,42.19,5.52,560
283,49.87,5.44,294
284,34.76,6.43,402
285,31.76,5.0,137
286,26.96,6.84,505
287,50.34,5.89,226
289,51.27,4.5,0
290,39.61,6.38,2
291,52.39,5.73,1
292,45.17,3.91,0
293,68.42,5.98,2
294,22.93,3.98,1
296,56.46,3.89,1
298,40.45,4.35,1
299,31.59,4.41,2
300,45.16,5.4,2
301,47.61,4.44,2
302,51.94,5.48,2
303,40.42,5.58,2
304,47.62,5.56,2
305,47.74,5.08,2268
306,45.62,6.55,1799
307,46.5,6.39,1475
308,43.84,5.44,2321
309,47.0,5.93,1733
310,48.35,6.6,2045
311,52.12,5.62,1690
312,47.49,5.82,1394
313,53.02,6.25,1264
314,59.03,5.39,963
315,39.99,7.15,1902
316,52.17,6.97,1780
317,53.35,7.24,1842
318,37.45,6.35,2251
319,43.79,5.43,1567
320,43.3,5.72,1378
322,41.14,5.17,2
323,33.51,5.71,2
324,34.17,5.62,0
325,22.48,4.55,2
326,37.55,5.57,1
327,19.86,5.98,1
328,46.75,5.68,2
329,39.94,5.98,1
330,44.45,5.51,1
331,15.26,4.77,2
332,24.16,5.55,1
333,47.07,4.25,0
334,27.45,5.44,1
335,49.59,4.17,1
336,47.21,4.3,2
338,51.55,5.23,34
339,45.35,5.02,27
340,44.01,5.91,40
342,51.75,7.23,65
343,46.28,4.88,36
344,41.46,4.41,43
345,41.73,5.03,38
346,45.79,7.33,49
347,37.04,4.82,40
348,60.51,6.62,50
349,39.57,6.2,55
350,35.17,5.54,46
351,54.21,5.66,48
352,57.33,5.96,78
353,51.11,4.33,2
354,0.0,4.06,0
355,21.99,4.32,4
356,12.97,5.81,5
357,35.63,4.33,5
358,14.54,4.14,0
359,16.72,4.7,3
360,5.78,5.32,4
361,28.88,5.4,0
362,30.74,4.03,3
363,6.95,4.35,3
366,30.38,6.02,3
367,17.48,5.54,4
368,38.29,4.05,1
370,51.73,4.87,50
372,62.56,5.17,110
373,70.75,5.84,34
374,51.92,5.09,44
375,47.2,5.29,83
376,34.64,4.96,63
377,55.78,5.18,32
378,64.34,5.84,54
379,53.14,5.65,96
380,51.87,6.49,86
381,67.44,4.93,105
382,61.37,6.73,132
383,44.91,5.03,100
384,40.39,6.05,62
385,38.91,4.6,17
386,46.45,4.3,49
388,49.08,6.12,53
389,53.0,5.57,23
390,48.11,7.05,91
392,35.46,4.77,0
393,42.92,5.41,17
394,49.92,6.08,24
395,41.55,5.07,6
396,39.14,6.32,17
397,72.61,5.5,62
398,40.59,5.84,80
399,33.24,5.96,60
400,57.15,7.06,62
401,46.12,6.76,3
402,42.63,5.28,1
403,60.83,4.82,0
404,49.68,6.5,2
406,30.25,4.71,0
407,55.92,5.7,3
408,59.97,6.12,2
409,41.53,6.22,4
410,58.88,4.73,1
411,44.3,6.46,0
412,47.74,5.31,2
413,61.86,5.6,2
414,56.94,6.75,4
415,36.08,5.67,3
416,59.19,6.28,4
417,20.49,5.46,4
418,35.84,5.11,5
419,27.57,5.15,1
420,43.77,5.59,3
421,43.23,4.81,4
422,31.29,6.58,5
423,34.94,6.04,3
424,29.61,5.73,3
425,31.22,5.06,3
426,40.23,5.53,4
427,36.5,5.41,4
429,40.68,5.43,6
430,15.01,6.85,2
431,30.54,6.27,3
432,32.52,5.93,1
434,34.68,3.89,33
435,33.07,4.72,64
436,49.64,5.59,15
437,21.23,5.87,92
438,34.5,5.73,45
439,22.29,6.18,20
440,35.31,6.18,47
441,36.16,5.1,66
442,19.14,5.08,0
443,47.66,5.84,43
444,31.8,4.43,82
445,25.9,5.01,49
446,20.93,5.67,18
447,46.82,5.22,16
448,35.67,5.96,30
449,64.41,5.27,1618
450,43.86,5.31,496
451,36.13,6.85,1512
452,52.85,6.12,778
453,49.95,6.44,2407
455,49.12,6.44,1736
456,50.42,5.43,1175
457,60.41,5.9,1696
458,53.14,5.88,1145
459,31.24,7.0,776
460,38.76,6.24,1510
461,49.86,3.98,266
462,59.57,6.8,1022
463,46.02,5.98,1863
465,52.84,6.52,1
466,33.64,5.86,1
467,41.31,5.51,1
468,58.39,5.94,2
469,37.9,5.64,1
470,61.11,4.23,1
471,48.87,6.06,1
472,50.64,5.45,1
473,65.54,5.61,1
474,50.11,6.06,1
475,45.61,3.95,1
476,40.03,5.66,0
477,53.82,5.93,1
478,53.16,5.04,1
479,49.25,5.47,1
480,48.18,5.82,1
481,50.21,5.88,325
482,44.17,7.1,202
483,51.4,6.57,92
484,31.62,6.44,225
485,49.08,5.14,252
486,51.89,4.59,188
488,61.74,6.41,243
489,30.01,5.72,230
490,60.89,5.71,257
491,39.41,7.25,256
492,51.17,6.6,227
493,45.78,6.0,70
494,55.97,5.14,271
495,66.17,7.08,221
496,45.36,6.96,218
498,37.08,4.93,6
499,40.64,3.96,0
500,64.08,5.43,4
501,51.54,5.62,3
502,50.15,5.85,4
503,63.48,5.11,4
504,31.92,5.78,2
505,48.52,6.6,3
506,43.05,6.3,7
507,50.89,4.36,1
509,61.39,5.29,5
510,52.03,5.7,4
511,69.09,6.32,3
512,36.52,6.86,7
513,41.81,4.97,1
514,22.64,6.34,2
515,27.27,3.96,0
517,26.41,4.74,1
518,23.87,5.63,3
519,44.57,4.7,2
520,37.14,4.14,1
521,48.06,6.18,1
522,25.84,5.61,2
523,11.44,3.46,1
524,43.14,5.15,0
525,15.21,6.5,0
526,26.86,3.84,1
528,35.21,6.02,2
529,61.95,6.13,47
530,15.36,5.81,41
531,41.46,4.92,25
532,47.29,5.81,36
533,31.98,5.05,53
534,27.37,4.95,23
536,51.01,5.85,31
537,31.63,5.94,42
538,63.88,6.72,49
539,48.06,3.8,20
540,58.76,5.77,99
541,37.64,5.01,45
542,7.16,5.76,31
543,31.51,6.36,39
544,45.58,4.51,60
545,37.29,5.68,75
546,52.83,4.11,146
547,53.57,6.01,258
548,76.47,7.3,122
549,36.33,6.39,158
550,56.69,6.16,124
551,65.29,5.76,168
552,40.74,6.3,107
553,52.14,6.17,154
554,38.67,6.1,186
555,45.96,6.21,270
556,34.91,4.29,195
557,44.31,6.87,242
558,42.25,6.04,103
559,60.59,5.98,171
561,40.59,4.71,62
562,39.88,6.99,73
563,49.58,6.61,22
564,24.56,4.68,19
565,21.88,6.24,31
566,39.36,4.34,14
567,30.66,5.02,63
568,8.93,4.71,28
569,37.49,5.06,92
571,31.48,4.65,67
572,39.52,6.51,56
573,40.3,4.71,87
574,45.15,6.08,82
575,45.77,4.8,13
576,38.58,6.16,69
577,81.74,4.7,51
578,71.15,6.14,60
579,54.92,5.41,11
580,76.46,5.67,54
581,76.44,5.89,65
582,60.13,6.75,31
583,79.3,5.35,56
584,51.79,6.65,52
585,67.18,6.49,34
586,88.61,4.22,81
587,71.45,6.07,48
589,62.13,6.8,76
590,79.17,5.81,68
591,46.67,5.3,39
592,72.96,5.92,48
593,27.87,5.52,19
594,61.29,4.28,26
595,50.17,5.43,48
597,42.23,6.09,28
598,49.32,5.46,28
599,64.49,5.2,23
600,35.2,6.15,24
601,61.18,6.42,24
602,49.17,5.55,16
603,59.4,5.61,36
604,53.24,5.79,32
605,53.26,5.64,24
606,54.32,6.31,30
607,47.79,7.21,39
608,60.32,5.47,24
609,48.6,6.74,301
610,46.75,6.77,405
611,41.03,6.15,294
612,46.78,7.53,322
613,76.19,5.93,168
614,44.48,4.84,248
615,34.28,4.83,161
616,50.83,7.06,164
617,35.14,5.77,266
618,40.16,6.12,68
619,33.48,4.53,212
620,58.53,6.6,225
621,32.74,6.44,208
622,48.92,6.69,161
623,42.11,6.34,344
624,39.14,6.83,301
625,71.2,6.7,24
626,55.99,4.63,18
627,56.59,5.49,39
628,29.94,6.25,18
629,55.6,5.55,22
630,56.49,5.25,23
631,30.08,6.77,22
632,34.81,5.14,12
633,40.04,6.87,19
634,48.25,6.31,24
635,31.19,4.64,21
636,47.25,5.3,16
637,51.17,4.72,11
638,49.53,6.15,22
639,26.27,5.93,18
640,54.74,6.49,37
641,62.72,6.44,5
642,49.85,4.84,7
643,38.39,4.84,3
644,61.09,6.42,8
645,60.59,6.02,6
646,65.51,7.14,5
647,58.07,6.31,3
648,50.65,5.58,6
649,66.33,6.92,5
650,55.59,7.12,6
651,50.39,6.34,3
652,50.91,5.2,2
653,52.12,5.49,5
654,60.93,6.45,6
656,46.55,6.12,3
657,34.31,6.07,2
658,45.64,5.83,1
659,26.35,4.7,0
660,50.02,5.26,1
661,20.63,5.69,0
663,57.11,5.24,1
664,28.45,4.78,0
665,53.86,5.11,1
666,21.57,4.94,2
667,22.27,5.0,1
668,31.8,5.08,1
669,35.77,6.28,1
670,26.74,3.99,0
671,23.66,5.22,1
672,40.44,5.04,1
673,57.1,5.28,2
674,34.38,5.53,1
675,55.74,6.13,2
676,43.95,4.7,2
677,58.57,5.61,1
678,33.51,5.37,1
679,51.97,6.17,2
680,47.66,5.45,2
681,24.38,6.12,1
682,29.37,5.48,1
683,37.12,5.09,1
684,39.79,4.85,1
685,60.46,6.58,1
686,39.86,5.09,2
687,44.12,4.44,0
688,24.27,5.74,2
689,24.18,5.14,638
