EmployeeNumber,Age,Gender,MaritalStatus,EducationField,Department
1,41,Female,Single,Life Sciences,Sales
2,49,Male,Married,Life Sciences,Research & Development
4,37,Male,Single,Other,Research & Development
5,33,Female,Married,Life Sciences,Research & Development
7,27,Male,Married,Medical,Research & Development
8,32,Male,Single,Life Sciences,Research & Development
10,59,Female,Married,Medical,Research & Development
11,30,Male,Divorced,Life Sciences,Research & Development
12,38,Male,Single,Life Sciences,Research & Development
13,36,Male,Married,Medical,Research & Development
14,35,Male,Married,Medical,Research & Development
15,29,Female,Single,Life Sciences,Research & Development
16,31,Male,Divorced,Life Sciences,Research & Development
18,34,Male,Divorced,Medical,Research & Development
19,28,Male,Single,Life Sciences,Research & Development
20,29,Female,Divorced,Life Sciences,Research & Development
21,32,Male,Divorced,Life Sciences,Research & Development
22,22,Male,Divorced,Medical,Research & Development
23,53,Female,Married,Life Sciences,Sales
24,38,Male,Single,Life Sciences,Research & Development
26,24,Female,Divorced,Other,Research & Development
27,36,Male,Single,Life Sciences,Sales
28,34,Female,Single,Life Sciences,Research & Development
30,21,Male,Single,Life Sciences,Research & Development
31,34,Male,Single,Medical,Research & Development
32,53,Female,Divorced,Other,Research & Development
33,32,Female,Single,Life Sciences,Research & Development
35,42,Male,Married,Marketing,Sales
36,44,Female,Married,Medical,Research & Development
38,46,Female,Single,Marketing,Sales
39,33,Male,Single,Medical,Research & Development
40,44,Male,Married,Other,Research & Development
41,30,Male,Single,Medical,Research & Development
42,39,Male,Married,Technical Degree,Sales
45,24,Male,Married,Medical,Research & Development
46,43,Female,Divorced,Medical,Research & Development
47,50,Male,Married,Marketing,Sales
49,35,Female,Married,Marketing,Sales
51,36,Female,Married,Life Sciences,Research & Development
52,33,Female,Married,Life Sciences,Sales
53,35,Male,Divorced,Other,Research & Development
54,27,Female,Divorced,Life Sciences,Research & Development
55,26,Male,Single,Life Sciences,Research & Development
56,27,Male,Single,Life Sciences,Sales
57,30,Female,Single,Medical,Research & Development
58,41,Female,Married,Technical Degree,Research & Development
60,34,Male,Single,Marketing,Sales
61,37,Male,Married,Life Sciences,Research & Development
62,46,Male,Single,Marketing,Sales
63,35,Male,Married,Life Sciences,Research & Development
64,48,Male,Single,Life Sciences,Research & Development
65,28,Male,Single,Technical Degree,Research & Development
68,44,Female,Divorced,Marketing,Sales
70,35,Male,Married,Medical,Research & Development
72,26,Female,Married,Marketing,Sales
73,33,Female,Single,Life Sciences,Research & Development
74,35,Male,Married,Life Sciences,Sales
75,35,Female,Married,Medical,Research & Development
76,31,Male,Divorced,Life Sciences,Research & Development
77,37,Male,Divorced,Life Sciences,Research & Development
78,32,Male,Married,Medical,Research & Development
79,38,Female,Single,Life Sciences,Research & Development
80,50,Female,Divorced,Medical,Research & Development
81,59,Female,Single,Life Sciences,Sales
83,36,Female,Divorced,Technical Degree,Research & Development
84,55,Female,Divorced,Medical,Research & Development
85,36,Male,Single,Life Sciences,Research & Development
86,45,Male,Divorced,Life Sciences,Research & Development
88,35,Male,Married,Medical,Research & Development
90,36,Male,Married,Medical,Research & Development
91,59,Female,Single,Life Sciences,Sales
94,29,Male,Married,Life Sciences,Research & Development
